"origin","destination","count","iata","order_count","order_length_days","date_start","date_end"
"ABE","ATL","853","ABE","4","434","2020-04-19","2021-06-27"
"ABE","BHM","1","ABE","4","434","2020-04-19","2021-06-27"
"ABE","CLE","805","ABE","4","434","2020-04-19","2021-06-27"
"ABE","CLT","465","ABE","4","434","2020-04-19","2021-06-27"
"ABE","CVG","247","ABE","4","434","2020-04-19","2021-06-27"
"ABE","DTW","997","ABE","4","434","2020-04-19","2021-06-27"
"ABE","JFK","3","ABE","4","434","2020-04-19","2021-06-27"
"ABE","LGA","9","ABE","4","434","2020-04-19","2021-06-27"
"ABE","ORD","1425","ABE","4","434","2020-04-19","2021-06-27"
"ABE","PHL","2","ABE","4","434","2020-04-19","2021-06-27"
"ABI","DFW","2660","ABI","1","249","2020-07-03","2021-03-09"
"ABQ","AMA","368","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","ATL","1067","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","AUS","433","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","BWI","546","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","CLE","12","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","CVG","260","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","DAL","3078","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","DEN","4318","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","DFW","2888","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","ELP","799","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","EWR","167","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","HOU","1011","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","IAD","365","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","IAH","2261","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","LAS","2402","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","LAX","2395","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","LBB","366","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","MAF","367","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","MCI","670","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","MCO","730","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","MDW","730","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","MSP","677","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","OAK","1016","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","OKC","229","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","ONT","446","ABQ","31","457","2020-05-15","2021-08-15"
"ABQ","ORD","751","ABQ","31","457","2020-05-15","2021-08-15"
